"","USA","CAN","CUB","DOM","JAM","TRI","MEX","GUA","HON","SAL","NIC","COS","PAN","COL","VEN","SUR","ECU","PER","BRA","BOL","PAR","CHL","ARG","URU","UKG","IRE","NTH","BEL","LUX","FRN","SWZ","SPN","POR","POL","AUS","HUN","CZR","SLO","ITA","ALB","MAC","CRO","SLV","GRC","CYP","BUL","MLD","ROM","RUS","EST","LAT","LIT","UKR","BLR","ARM","GRG","AZE","FIN","SWD","NOR","DEN","CAP","GNB","EQG","GAM","MLI","SEN","BEN","MAA","NIR","GUI","BFO","SIE","GHA","TOG","CAO","NIG","GAB","CEN","CHA","CON","UGA","KEN","TAZ","BUI","RWA","DJI","ERI","ANG","MZM","ZAM","ZIM","MAW","SAF","NAM","LES","BOT","MAG","MAS","MOR","ALG","TUN","LIB","SUD","IRN","TUR","EGY","SYR","LEB","JOR","ISR","SAU","YEM","KUW","BAH","QAT","UAE","OMA","TKM","TAJ","KYR","UZB","KZK","CHN","MON","TAW","ROK","JPN","IND","PAK","BNG","MYA","SRI","NEP","THI","CAM","LAO","MAL","SIN","PHI","INS","AUL","PNG","NEW","SOL","FIJ"
"USA",0,13.0962144549093,5.98612531876238,9.20035468049783,7.77195239629797,9.20283326402173,12.6211150776394,8.90158037938788,8.92106903731597,8.51450357764573,7.46685093167067,8.94280335184657,7.30739679618735,9.64585218916995,10.6498536472872,6.084613301806,9.03505202408226,8.96151740884536,10.6055523526686,6.44830377967019,5.52784052482629,9.40660921165265,9.1039993758044,6.95182001014424,11.4536859459559,10.5515536816554,10.6698921650716,10.3244748982994,6.99403388756256,11.0064719363189,9.93153647762255,9.72711128741929,8.2295057856169,8.10069544697357,9.12081711558457,8.22369959807563,8.36955823806417,7.14150637088245,10.7315720119992,4.33007522904178,4.56153172895826,6.64368556105528,6.42264613372078,7.97816011858623,4.87060664949255,6.86569293220964,4.54499546295202,7.79672003400381,9.93890874896661,6.55253641729807,6.16984083153965,6.89755341649754,7.56827079087873,6.41895203925064,5.06442879369765,5.87045443503713,5.25269218852176,8.79097662368993,9.80954603568521,9.20658733814687,8.90488121942172,2.58550584834412,0.963174317773006,7.57523074278562,3.52193899935828,3.67452694788954,4.93007578623784,2.930126516456,4.55681992504704,5.04600243793355,5.42446531853605,3.39819287264186,3.94119338272793,6.30034533070076,2.64119789411437,5.70384913910074,10.1993535451708,8.02722192926164,3.09013294897548,7.40188428680071,7.50157371611598,4.58138965732269,6.96954627913834,4.95265301155791,2.5687881337687,2.9041650800285,3.98117586411646,3.47506723022861,9.19697140423723,4.3419855851367,4.29510616264318,4.99308213484867,5.03753684729376,9.28566859931562,5.50979311299456,6.05208916892442,5.50938833662798,5.92294477797618,5.71327065252851,7.05530421517483,9.40193546299136,6.34940119476372,7.46702243472385,4.96675306627941,5.65168183691083,9.30192361537287,8.64941197294362,6.26187329088931,6.39922701426483,7.55409383083387,10.0506395126457,10.5392436745494,6.251846078027,8.82260662993583,6.73408023314044,7.33329748651948,9.29339116620208,7.12907316478277,6.00812498800109,5.56260286119342,4.28413813385476,5.1837479118049,7.47120940534833,12.724679040435,5.24090009567809,10.8096877457285,11.2425645120469,12.2423896277035,10.2206983296891,8.52210908856984,8.07332191832034,1.7630170003624,7.79140710997734,4.99430263947536,10.3008905825859,7.55532438109741,2.72654478373837,10.8090186061238,10.5679780238463,9.84155044478673,9.73106087951363,4.81324070780478,8.74036074244245,2.55022611590864,1.25276296849537,0.53062825106217
"CAN",13.0962144549093,0,6.80874124838317,5.47767620549122,6.14210191963531,6.12496781433699,9.90185522100762,5.79334891801524,5.04226315177657,4.66983369931381,4.29374171980631,6.02259977603869,4.13212192655613,6.82251324487272,7.60651667032655,5.17846343807256,5.50011469984265,7.27538005410712,8.29024240175907,3.67705987730859,3.36626081178126,7.55318172333067,6.34971574810058,4.94157099148673,9.74924720202191,7.70440625255674,8.16019248013537,7.99438607538466,5.01568916839893,8.84173453716948,7.8527889463885,7.69881833248659,5.98577338311269,6.48064254260976,7.37853360807044,5.83076748641069,6.28523430196249,4.84897873774588,8.67845793475125,1.82454929205105,3.23710859312926,3.86828008248023,4.70029853107967,5.57746310797753,3.15316328150282,4.96884060443921,2.98416563718253,5.94873970164798,7.64777650341068,4.13468644150548,3.46291944029015,6.1871135641128,5.8622666086363,4.1717684591869,3.00864849882054,3.92018956809454,2.66374994220563,7.22583075675371,7.81067704311734,8.83876496547349,7.44126173697119,0.00995033085316809,-3.50655789731998,6.21720472426946,-1.20397280432594,1.84213567655312,3.26193531432865,1.18172719537862,1.30562645805244,2.03861954715958,3.52370995613755,2.58776403522771,1.82616089594539,4.69418788230574,2.31451366385932,3.14069804380418,5.57257219568579,2.39880395073459,-0.7339691750802,1.5830939370945,2.47232786758114,2.46725171454928,3.93437140909191,5.15917023513788,0.966983846189673,0.883767540168595,0.615185639090233,0.322083499169113,5.94114446320797,1.73871024813824,2.88368276974537,2.05540496385159,1.41585316336144,8.38964159838489,3.95469927970858,2.59897910604785,1.78002421300963,2.62684014567667,1.98650354602057,5.85587389280163,8.28981568956997,4.0668020592157,5.06720464558415,5.0364329869174,5.68088907584289,6.92735200272869,5.9248171371601,4.36054760299676,3.93710578579561,3.72906124374677,6.96365345461095,7.63755256381735,2.68444033546308,5.09264529614583,3.46885603013597,4.73277153058181,6.37055145615608,3.19335286763712,3.51660723317298,-0.967584026261706,3.55706087949309,3.68787895378035,4.88801558054834,10.4931155766509,5.07798236755587,8.00095058894425,8.91830885438656,9.99772670444933,7.81962424926161,6.08278952380134,6.22961493052871,2.33891702224144,5.19062079109266,2.81120829320484,7.67933001740928,4.79562524267877,1.93007108502557,7.98399243429592,7.43514299104711,6.97735596571197,7.35632457542402,2.14358936150359,6.74049571866484,1.63705307946707,-2.30258509299405,-0.0408219945202552
"CUB",5.98612531876238,6.80874124838317,0,4.5393508449508,1.71739505393919,3.28952066443753,5.58379701544462,2.73111547403321,1.71559810826249,1.83098018238134,-0.579818495252942,2.9590682891824,2.79055142261395,4.32519169792134,7.58532678607599,-0.7339691750802,2.90471287516682,1.39624469197306,5.74559597746961,0.336472236621213,-2.12026353620009,3.88321192357403,4.68481281364029,3.62140328898902,3.86051916256103,-0.0618754037180874,6.63063061380141,4.14883274750617,-0.916290731874155,5.17241394965888,3.71210758023314,6.71352711908162,2.74212951475507,2.76443053453832,1.8213182714696,-0.27443684570176,3.12544388007565,2.72523502585631,5.63935061449681,-4.60517018598809,-2.65926003693278,-0.301105092783922,-3.91202300542815,1.3609765531356,0.157003748809665,0.647103242058539,0,2.2523438765573,5.29370675399035,-0.867500567704723,-1.42711635564015,-1.17118298150295,3.22724074119983,3.00617753141553,-2.81341071676004,0,-0.653926467406664,2.39242579699384,3.11573506594869,0.900161349944271,3.22684399451738,-2.99573227355399,1.80664808172181,0,-2.81341071676004,0,-0.371063681390832,0,-3.2188758248682,0,0,0,0,4.13115853534482,-3.91202300542815,0,-1.42711635564015,0,0,0,0,-1.96611285637283,0,0,0,0,0,0,0,0,0,0,0,1.25561603747777,0,0,0,-4.60517018598809,-2.20727491318972,1.41342302850814,2.99373027088332,-2.12026353620009,3.65454677503343,0,4.37147112073437,1.30833281965018,-0.415515443961666,-1.07880966137193,-0.891598119283784,-1.56064774826467,0,0.122217632724249,-3.91202300542815,-1.23787435600162,0.631271776841858,0,0.27763173659828,0,0,0,1.35583515363518,0,3.5142284036242,6.86348986268412,0,2.50143742714796,-2.04022082852655,5.42088891893622,2.69192081917233,0.60431596685333,0,0,0,0,2.47232786758114,0,0,1.37624402526639,1.50629715351459,0.182321556793955,-0.127833371509885,0,3.85566427175876,0,0,0
"DOM",9.20035468049783,5.47767620549122,4.5393508449508,0,3.36384159511839,5.14749447681345,6.56423627209293,4.30257750080056,2.95699144523756,3.80888224650863,2.36743606531366,4.80279078007122,3.3332753651767,6.46890917334164,6.74049571866484,1.67335123817775,3.45694739676665,3.24493335918749,5.91039005733031,0.871293365943419,0.62057648772511,3.75700528316154,4.9152984472697,1.40609698841607,5.29596460096444,2.21920348405499,5.38343945996486,5.02473541847504,1.35325450704169,4.81559317289292,3.22644709036452,5.71445861465344,1.14740245283754,3.33541364111615,2.50061594349318,0.593326845277734,3.02916704964023,1.73342389221509,5.31389539651135,0,-3.50655789731998,0,-1.13943428318836,1.13783300182139,-2.20727491318972,0.512823626428664,0,1.3244189574018,3.3881121421135,-0.755022584278033,-1.56064774826467,-3.2188758248682,2.06939120582633,-1.56064774826467,0,0,-1.66073120682165,4.42292862599431,3.55934008275895,3.61603990793698,4.52839712718218,-3.50655789731998,0,0,0,0,0,0,0,0,0,0,0,-2.65926003693278,0,3.85057304311192,1.16938135955632,0,0,0,0,0,-0.63487827243597,0,0,0,0,0,0,0,0,0,-0.49429632181478,1.80828877117927,0,0,0,-0.2484613592985,-2.52572864430826,0.392042087776024,0,-1.89711998488588,-4.60517018598809,0,0,2.27624111765444,-0.867500567704723,-2.81341071676004,-1.96611285637283,-0.693147180559945,2.87299950817169,1.05779029414785,-3.2188758248682,-3.2188758248682,0,-0.328504066972036,0.431782416425538,0,0,0,0,0,1.46093790411566,5.91822158534026,0,4.55964946137177,5.30340440559659,5.97630014658821,3.54673968695281,1.870262530716,0,0,0,0,3.97066920086088,-2.20727491318972,-0.994252273343867,3.08967788639652,3.01160562271028,1.23547147138531,2.76064265122138,0,2.45358796653057,0,0,-0.82098055206983
"JAM",7.77195239629797,6.14210191963531,1.71739505393919,3.36384159511839,0,6.52190160342301,4.69829616397758,2.97195174488859,3.25848107946056,1.19088756477728,-2.12026353620009,3.91661245776195,3.989724513092,4.09600984154116,5.63970606894907,2.55877649835446,3.43463215774839,-0.0304592074847086,5.12568868172498,-2.30258509299405,-3.50655789731998,2.40243042796376,2.58851563240702,2.002830439308,5.70097854732347,2.20497226412705,5.11637573757237,3.21727454350123,-0.510825623765991,5.95806287047395,3.28914787785353,3.31454957493648,-0.579818495252942,0.783901543828409,2.03470564783844,1.81482474215905,-0.446287102628419,2.66653352089928,3.06339092202781,0,0,-3.91202300542815,-0.693147180559945,-1.56064774826467,-1.96611285637283,-3.2188758248682,0,-2.81341071676004,3.17429678147023,-4.60517018598809,0,0,0.0953101798043249,-3.50655789731998,0,0,0,2.39607543608138,3.7015488572146,5.0887684874996,1.708377860289,0,0,0,0,0,0,0,0,0,0,0,0,-1.6094379124341,-2.52572864430826,-2.65926003693278,3.06805293513362,0,0,0,0,-2.12026353620009,-0.916290731874155,-4.60517018598809,0,0,0,0,0,0,-4.60517018598809,-4.60517018598809,-3.50655789731998,2.86789890204411,0,0,0,0,-3.50655789731998,-0.713349887877465,0,-4.60517018598809,0,-0.083381608939051,-3.2188758248682,2.59674613154354,-1.66073120682165,-2.99573227355399,-2.81341071676004,-2.40794560865187,2.75556971707019,-1.04982212449868,-4.60517018598809,0,0,0,3.39383702725586,0,0,2.78501124223834,0,0,0,5.93269601419232,0,3.16911247530744,3.11927645964545,5.48852441761598,2.90142159408275,-0.162518929497775,0.246860077931526,0,0.148420005118273,0,3.44297891567711,-4.60517018598809,0,2.30558060197384,1.78842056796254,0.518793793415168,2.31055326264322,0,3.46072336097618,0,0,0
"TRI",9.20283326402173,6.12496781433699,3.28952066443753,5.14749447681345,6.52190160342301,0,5.86972055219963,2.61373952163097,4.35939751661352,2.62103882411258,0,3.48461898980123,3.86514101952802,5.97822732032596,6.08693380516778,4.93317812991144,2.37490575457367,4.05491049297669,6.76232480077193,-2.20727491318972,-1.89711998488588,2.6159349121944,3.37382618486602,2.14826773260969,5.81033228282525,2.62900699376176,4.45143608604605,4.44276889662927,1.31908561142644,5.89880086224456,2.45958884180371,4.96179512867678,1.07158361628019,1.62334081760309,2.55877649835446,0.0769610411361284,2.26072088889535,0.570979546585738,4.65443642729101,-3.2188758248682,0,0,-1.38629436111989,0.53062825106217,-1.42711635564015,-2.20727491318972,0,0.215111379616945,2.18380155700408,-0.0943106794712413,-1.83258146374831,-2.40794560865187,2.33698651971138,0,0,0,-4.60517018598809,0.470003629245736,3.55934008275895,2.38047163165112,2.35327820730956,1.29746314741327,0,0,-1.56064774826467,0,2.27006190128849,0,-3.91202300542815,0,0,-3.50655789731998,-4.60517018598809,-1.23787435600162,-4.60517018598809,3.90580370561423,-0.891598119283784,5.40869527401765,-3.91202300542815,0,0,0,-2.99573227355399,-0.994252273343867,0,0,0,0,4.41859961490472,-3.91202300542815,0,0,-2.40794560865187,1.22671229129543,-3.50655789731998,0,0,0,-2.81341071676004,1.05779029414785,0,0,-3.91202300542815,0,-0.44628710262842,1.49738840862548,2.84781214347737,0,-3.91202300542815,0,2.24707238306379,-0.776528789498996,0,0,0,3.46103738201817,-0.59783700075562,0,0,0,0,0,-0.186329578191493,4.8839376410503,0,3.58863607355959,3.68637632389582,5.76832099579377,4.2094573693226,0.198850858745165,0,-4.60517018598809,0.350656871613169,0,3.57655026914002,-1.66073120682165,0,2.13534917361813,4.10511963539006,-1.71479842809193,2.66930937278578,-3.2188758248682,3.29026582095487,0,0,0
"MEX",12.6211150776394,9.90185522100762,5.58379701544462,6.56423627209293,4.69829616397758,5.86972055219963,0,6.94529188251086,5.93629532997436,6.38871265461111,5.96589029598855,7.27660481095227,5.48205458748315,7.82393000412777,7.7733336003546,0,6.12404861616319,6.85539826114661,8.80442716348604,4.42938720603372,3.43656452549945,7.89914235155572,7.70810976882628,5.82894561761021,7.9656045991657,6.88236567354868,7.54506200034765,6.77676921568534,0.912282710476616,8.16560812916739,7.11592325402136,8.84527604969234,6.48506262520735,5.49371966288052,6.40375630055842,5.83974008829141,4.6855512979349,2.6447553507299,8.34091414184931,0,1.14422279992016,0,2.40152504084895,4.16960663005589,0.837247524533702,4.11103778516376,-1.07880966137193,4.93691698960197,6.5592894053789,0.717839793150317,0.576613364303994,1.0681530811834,5.51761352613335,1.78339121955754,-0.301105092783922,1.21194097397511,-0.328504066972036,6.0490728597283,7.04517535088321,5.7420091041284,5.75018884747036,0,0,0,0,0,-0.083381608939051,-3.91202300542815,0,0,0,0,0,0,-4.60517018598809,0,3.65764675168284,0,0,0,0.883767540168595,0,1.54115907168081,0,0,0,0,0,0,1.89160480419777,0,0,0,5.22714354709351,0,0,0,0,0.412109650826833,5.04741713818878,5.02170710806331,2.4466854369678,1.37371557891303,1.51292701205326,3.4974162394027,6.13534841743656,5.27499756122642,0,1.4747630091075,2.01089499914473,6.06196960799334,6.60063211387265,-1.10866262452161,2.91939104029727,0,0,0,0,0,0,-1.27296567581289,0,3.28653447334202,10.0217749054476,-2.30258509299405,7.11124364652984,8.94669638901817,9.73669361584972,7.04605528368176,4.94085639948834,0,0,4.29223867928286,0,7.55703938729546,-2.30258509299405,0,8.33302272644447,7.97230393387445,7.30481852340946,6.6402548469593,0,6.23183879368386,0,0,0
"GUA",8.90158037938788,5.79334891801524,2.73111547403321,4.30257750080056,2.97195174488859,2.61373952163097,6.94529188251086,0,6.38025812092817,6.96370073526418,5.40344285458904,6.2586441224118,6.30106098615239,5.20296218573118,4.47619980469113,-0.462035459596559,3.41081762503915,3.89528368142385,5.46818671540275,-0.562118918153541,-0.798507696217772,4.36742048228452,4.15088241318236,3.38540669575583,4.27874728521988,1.46787434811231,5.26263837409102,4.3173547713133,-0.798507696217772,4.6354083690487,5.62427018184338,5.18626786273941,1.60542989103656,-0.0202027073175195,2.20165917440409,-1.23787435600162,0.985816794522765,-0.843970070294529,4.85421537482495,-1.02165124753198,-1.17118298150295,-2.12026353620009,-3.50655789731998,-0.127833371509885,-0.0100503358535015,-0.798507696217772,0,0.732367893713227,2.86562358820697,-0.385662480811985,-1.71479842809193,-2.40794560865187,1.39871688111845,-2.04022082852655,0,0,0,3.24571247882176,4.12955081795672,3.89772122071729,2.52972066557779,0,0,0,0,0,-3.91202300542815,0,0,0,0,0,0,-4.60517018598809,0,-1.71479842809193,-3.91202300542815,-0.510825623765991,0,0,0,0,-1.30933331998376,1.40609698841607,0,-3.2188758248682,-3.91202300542815,0,0,0,0,0,0,1.37371557891303,0,0,0,0,-3.50655789731998,-0.400477566597125,1.39128190263093,-4.60517018598809,0,-2.40794560865187,-0.462035459596559,2.17361471169709,1.80170980008122,1.75958057086382,-0.967584026261706,0.932164081030445,2.95230271562666,3.79413996477143,-2.81341071676004,0.56531380905006,-0.798507696217772,0,2.61227324570844,-0.867500567704723,0,0,0,0,1.21787570949493,6.4147204562247,0,4.89626879044204,6.3684958865536,5.9658646480577,3.76398692660074,2.4932054526027,1.49290409617815,0,0.198850858745165,0,2.86733055874947,0,0,3.34638914516716,3.35585127989528,0.300104592450338,2.10046890887191,0,3.23789383070396,0,0,0
"HON",8.92106903731597,5.04226315177657,1.71559810826249,2.95699144523756,3.25848107946056,4.35939751661352,5.93629532997436,6.38025812092817,0,6.06452911796499,4.86066475418663,5.76481485646448,3.30137704637994,4.03653888012571,2.99822915375258,0.0295588022415444,3.23238417489299,2.57261223020711,5.04316701909874,-0.210721031315653,-2.40794560865187,4.06885579945493,3.95947894658444,-0.49429632181478,4.12293201907401,0.936093359170335,4.29701326034693,4.75703253529734,1.92861865194525,4.53924403587192,3.26537765851962,4.79843168282038,2.31944221006047,1.22377543162212,2.19277022698684,0.582215619852664,1.44456326924387,0.0198026272961797,4.14059181338742,1.27536280041261,-2.52572864430826,0.27763173659828,-1.04982212449868,0.779324876800998,-2.52572864430826,-0.210721031315653,0,1.02961941718116,3.31418600467253,-4.60517018598809,-2.99573227355399,-2.99573227355399,2.24707238306379,1.58719230348678,0,-3.2188758248682,0,2.65885995691144,3.87618855241893,1.96009478404727,2.45787797740008,-1.56064774826467,0,0,-2.81341071676004,0,-2.04022082852655,-3.50655789731998,0,0,-1.96611285637283,0,0,-2.65926003693278,-3.50655789731998,-1.07880966137193,1.54115907168081,0,0,0,-1.04982212449868,-1.30933331998376,0.165514438477574,0,0,0,0,0,0,0,0,-2.99573227355399,0,0.524728528934982,0,0,0,-3.50655789731998,-3.50655789731998,-0.478035800943,-1.6094379124341,0,-2.40794560865187,0,-1.56064774826467,2.22893855282575,-1.77195684193188,-1.17118298150295,-2.20727491318972,-2.99573227355399,2.05284085988266,0.148420005118273,-0.510825623765991,-1.56064774826467,-2.65926003693278,0,1.33500106673234,-2.99573227355399,0,0,0,0,-1.13943428318836,5.40348786415358,-4.60517018598809,3.86632811594968,5.03656291610617,4.88067845750816,3.52577211624379,2.45787797740008,-2.65926003693278,0,-0.82098055206983,0,3.35620001573142,0,0,2.3823200610129,2.13298230860787,1.04380405217311,1.95018670582257,0,0.048790164169432,0,0,0
"SAL",8.51450357764573,4.66983369931381,1.83098018238134,3.80888224650863,1.19088756477728,2.62103882411258,6.38871265461111,6.96370073526418,6.06452911796499,0,5.55070899222123,5.6301359344879,5.37966691224436,4.12438868357048,5.42464159988153,0,4.47095284386828,3.32143241319329,5.56929824727641,-0.891598119283784,-0.941608539858445,4.57460788040545,4.25405120762004,1.44456326924387,3.26804686887465,1.62727783056243,2.87412945179474,2.54709867004445,0,4.95469966176595,3.37176857097134,4.89671976996636,0.959350221334602,-0.867500567704723,2.16791018966744,-2.30258509299405,3.69659957712907,-3.50655789731998,3.84972197923077,0,0,0,-3.91202300542815,0.198850858745165,0,0.22314355131421,0,-1.20397280432594,4.17715267340942,0,0,0,1.14740245283754,0.148420005118273,0,-1.66073120682165,0,2.14943391349987,3.45315712059287,3.01012815383772,2.89369954798884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.50655789731998,0,-3.91202300542815,0,0,0,-1.42711635564015,0,0,0,0,0,0,0,-2.65926003693278,0,0,0.741937344729377,0,0,0,-0.867500567704723,0,0.672944473242426,0,0,-2.40794560865187,0,-3.91202300542815,1.54329810992956,-0.967584026261706,0,-4.60517018598809,-2.40794560865187,1.66013102674962,-1.07880966137193,-0.0943106794712413,0,0,0,-1.27296567581289,0,0,0,0,0,2.34660197841082,5.22138232507391,0,4.17079950308887,4.69647234439488,4.97831869261971,2.76945882923085,-0.0100503358535015,-0.544727175441672,0,-0.356674943938732,0,2.89701630061483,0.576613364303994,0,1.98787434815435,3.2092294478164,0.148420005118273,1.93152141160321,0,2.60120710548416,0,0,0
